2024_08_04_20_24_02_470,0.1,0.0,447,455,5.21328,-20.0097,0.7662398,0.03802462,0.05603518,0.01972231,0.23,-0.05495305,-0.01244238,-0.01643936
2024_08_04_20_24_02_507,0.1,0.0,467,474,5.221735,-20.00918,0.7656749,0.0359596,0.05559654,0.0190938,0.23,-0.05497851,-0.0123134,-0.01659838
2024_08_04_20_24_02_550,0.1,0.01251513,489,496,5.23137,-20.0086,0.7650343,0.03363839,0.0550844,0.01844399,0.23,-0.05329034,-0.01388401,-0.01169479
2024_08_04_20_24_02_583,0.1,0.03003646,507,514,5.239188,-20.00812,0.7645194,0.03185247,0.05458256,0.01814305,0.23,-0.0504445,-0.01621831,-0.004563904
2024_08_04_20_24_02_617,0.1,0.0475576,525,532,5.246996,-20.00767,0.7640076,0.03014911,0.05401114,0.01806262,0.23,-0.04877358,-0.01743188,0.002384254
2024_08_04_20_24_02_658,0.1,0.0500607,546,554,5.256157,-20.00712,0.7634109,0.0282114,0.05328047,0.01819951,0.23,-0.04795991,-0.01846229,0.004395792
2024_08_04_20_24_02_695,0.1,0.0500607,566,574,5.264835,-20.00664,0.762845,0.02641483,0.05254822,0.01836409,0.23,-0.04689872,-0.01950624,0.005266716
2024_08_04_20_24_02_738,0.1,0.06507894,588,596,5.274411,-20.00613,0.7621508,0.02460388,0.05158167,0.01864266,0.23,-0.03214411,-0.0356958,0.01082482
2024_08_04_20_24_02_779,0.1,0.07008494,609,618,5.283631,-20.00569,0.7613292,0.02357856,0.05034964,0.01915612,0.23,-0.01040521,-0.0130484,0.01584662
2024_08_04_20_24_02_817,0.1,0.07008494,629,639,5.292329,-20.00538,0.7608948,0.02325419,0.04982806,0.01971964,0.22,-0.00881643,-0.01299395,0.01368291
2024_08_04_20_24_02_854,0.1,0.07008494,647,658,5.300275,-20.00509,0.7604911,0.02296071,0.04932503,0.02018143,0.21,-0.008539875,-0.01337924,0.01175252
2024_08_04_20_24_02_893,0.1,0.07008494,665,677,5.308167,-20.00478,0.760086,0.02266297,0.04881125,0.02060008,0.2,-0.008158261,-0.01337692,0.009677686
2024_08_04_20_24_02_934,0.1,0.07008494,684,698,5.316814,-20.0044,0.7596374,0.02234765,0.04820809,0.02097452,0.2,-0.006368925,-0.01450551,0.000841427
2024_08_04_20_24_02_967,0.1,0.07008494,695,713,5.323276,-20.00409,0.7593056,0.02217295,0.0477072,0.02097825,0.19,-0.004066459,-0.01588775,0.000326613
2024_08_04_20_24_03_002,0.1,0.07008494,707,729,5.329763,-20.00377,0.758971,0.02206322,0.04713421,0.02094789,0.19,-0.0020785,-0.01727997,-0.000312266
2024_08_04_20_24_03_041,0.1,0.07008494,719,746,5.336846,-20.00339,0.7586098,0.02200463,0.04644463,0.02086853,0.18,-0.0012111,-0.01840157,-0.002290636
2024_08_04_20_24_03_080,0.1,0.07008494,732,764,5.344334,-20.00301,0.7582533,0.02201475,0.04573819,0.02082912,0.18,0.003659282,-0.01450067,0.004314509
2024_08_04_20_24_03_121,0.1,0.07008494,745,781,5.351678,-20.00273,0.7579163,0.02217082,0.04513926,0.02099849,0.18,0.003451804,-0.01454178,0.005019939
