2024_08_04_19_57_03_584,0,0.1,0.2,0.3,5.009802,-20.01925,0.7756077,0.07679331,0.05175346,0.02646383,0.4,-0.0001217757,7.068276E-05,0.00142546,-0.009098032,-0.002057233,-0.004379046
2024_08_04_19_57_03_619,0.0,0.0,0,0,5.009818,-20.01926,0.7756066,0.07679118,0.05175671,0.02651443,0.0,-0.000247446,-0.0001139746,0.001412749,-0.03021306,0.01331553,-0.02780128
2024_08_04_19_57_03_656,0.0,0.0,0,0,5.009836,-20.01927,0.7756057,0.07679065,0.05176048,0.0265677,0.0,-3.438923e-06,0.0002571326,0.001443427,-0.0006515183,0.002824585,0.03797451
2024_08_04_19_57_03_695,0.0,0.0,0,0,5.009853,-20.01928,0.7756047,0.07678905,0.05176398,0.02662256,0.0,-0.0002314375,8.097627e-05,0.001433107,-0.01017441,0.02052192,0.06504097
2024_08_04_19_57_03_736,0.01229808,0.0,-1,0,5.009985,-20.01938,0.7755836,0.07680237,0.05170416,0.02680152,0.01,0.002085737,-0.00315742,0.005038849,1.170222,-0.04074163,0.02210101
2024_08_04_19_57_03_774,0.03518268,0.0,-2,2,5.010784,-20.01958,0.7755423,0.07691102,0.05164449,0.02707529,0.03,0.002659331,0.001465768,0.007674866,0.2984293,-0.01312373,-0.04848156
2024_08_04_19_57_03_809,0.05613048,0.0,0,6,5.012393,-20.01976,0.7755023,0.07699305,0.05174682,0.02732829,0.06,0.001417296,0.01058392,0.01644298,-0.1821779,0.009653624,-0.02229842
2024_08_04_19_57_03_846,0.07858105,0.0,5,13,5.015263,-20.0199,0.775458,0.07704312,0.05206973,0.02764734,0.1,0.0005595339,0.01293419,0.003952581,0.8332803,-0.002336688,0.06043049
2024_08_04_19_57_03_884,0.1012057,0.0,14,24,5.019675,-20.02,0.7754183,0.07704205,0.05271434,0.02788223,0.14,-0.001339785,0.02502436,0.01247808,-0.1201779,0.006875023,0.02947822
2024_08_04_19_57_03_921,0.123671,0.0,27,37,5.025535,-20.02006,0.7753804,0.07698293,0.0536603,0.02809742,0.18,-0.002428912,0.03092558,0.003144895,0.5837232,-0.007697381,-0.04153931
2024_08_04_19_57_03_959,0.1455981,0.0,44,55,5.033042,-20.02004,0.7753479,0.07686841,0.05495183,0.02824336,0.23,-0.004064629,0.03925862,-0.0001721514,1.282394,0.004176516,0.02440158
2024_08_04_19_57_03_995,0.167542,0.0,64,76,5.041998,-20.01997,0.7753193,0.07670383,0.05654579,0.02830727,0.28,-0.005160835,0.04865418,-0.00293951,1.303464,-0.002579298,0.1078434
2024_08_04_19_57_04_033,0.1900488,0.0,90,102,5.053277,-20.01985,0.7752906,0.07647693,0.05859213,0.02827957,0.33,-0.00645171,0.05870343,-0.006503397,1.311451,-0.007381197,-0.06321259
2024_08_04_19_57_04_069,0.2,0.0,119,131,5.065841,-20.01929,0.7747108,0.07438795,0.06058584,0.02740446,0.38,-0.09152673,0.06323764,-0.04034071,1.552671,0.3739651,-0.07239357
