2024_08_04_22_13_33_459,0,0.1,0.2,0.3,5.011218,-20.02024,0.7755228,0.07667081,0.05203366,0.03082928,0.4,-5.852326E-05,0.0002324779,0.001435921,0.007243798,-0.0108658,-0.01102018
2024_08_04_22_13_33_497,0.0,0.0,0,0,5.011236,-20.02025,0.7755217,0.07666921,0.05203728,0.03088415,0.0,8.321345e-06,0.0003062231,0.001444113,0.007902505,-0.009246985,-0.0338711
2024_08_04_22_13_33_535,0.0,0.0,0,0,5.011254,-20.02026,0.7755208,0.07666761,0.05204079,0.03093901,0.0,-0.0001322508,0.0002489842,0.001421097,-0.002986344,-0.005984038,-0.08815889
2024_08_04_22_13_33_573,0.0,0.0,0,0,5.011272,-20.02028,0.7755195,0.07666601,0.0520441,0.03099387,0.0,-0.0001000461,0.0003200761,0.001434426,0.01147133,0.004490023,0.008493276
2024_08_04_22_13_33_612,0.1095134,0.0,1,2,5.012052,-20.02047,0.7754466,0.07682953,0.0517802,0.03135712,0.05,0.008484134,-0.003344844,0.01602789,0.8094124,-0.07564295,0.01448695
2024_08_04_22_13_33_649,0.198596,0.0,9,11,5.01554,-20.0206,0.7753374,0.07716989,0.05169005,0.03151372,0.14,0.008651766,0.006863249,0.005384928,1.892969,-0.02428237,0.1202025
2024_08_04_22_13_33_689,0.248947,0.0,27,30,5.02317,-20.02059,0.7752359,0.0774149,0.05241045,0.03142583,0.25,0.003670608,0.03146625,-0.007721822,2.89537,0.008266885,0.04815589
2024_08_04_22_13_33_727,0.3690148,0.0,56,59,5.03548,-20.02038,0.7751393,0.07749692,0.05405981,0.03100772,0.39,0.002596114,0.05169109,-0.02171203,3.947764,-0.06949902,-0.1172265
2024_08_04_22_13_33_764,0.4,0.0,97,100,5.052567,-20.02,0.7750608,0.07744738,0.05669888,0.03011343,0.54,-0.004714292,0.08864608,-0.03491176,3.384351,0.07159822,0.08120946
2024_08_04_22_13_33_803,0.4,0.0,151,152,5.075006,-20.0189,0.7739716,0.07326356,0.06020294,0.02777624,0.66,-0.1928359,0.05012095,-0.07391149,1.866758,2.457401,3.366183
2024_08_04_22_13_33_842,0.4,0.0,221,220,5.103596,-20.01651,0.7723323,0.06501894,0.06016829,0.02426726,0.74,-0.202198,-0.01346328,-0.0930737,1.737893,0.09023397,0.01377985
2024_08_04_22_13_33_880,0.4,0.0,289,287,5.131945,-20.0142,0.7707079,0.05705929,0.05985777,0.02066666,0.79,-0.2150612,-0.01486127,-0.09948669,1.270056,0.09046867,0.04809349
2024_08_04_22_13_33_920,0.4,0.0,365,362,5.163591,-20.01185,0.7689232,0.04883811,0.05897893,0.01748472,0.81,-0.1399394,-0.09224457,0.009717016,-0.668168,-1.241736,0.03375113
2024_08_04_22_13_33_957,0.4,0.0,438,432,5.193246,-20.01085,0.7672884,0.0437829,0.05571385,0.01781175,0.78,-0.167622,-0.05333436,-0.009171078,-0.559926,0.7157363,-0.9365901
2024_08_04_22_13_33_995,0.4,0.0,512,505,5.223715,-20.00952,0.765453,0.03710689,0.05376505,0.01742506,0.77,-0.1678866,-0.05583628,-0.00981196,-0.1913309,0.01043454,-0.06559491
2024_08_04_22_13_34_033,0.4,0.0,583,575,5.253119,-20.00813,0.7635377,0.03070891,0.05167214,0.01702239,0.77,-0.1678048,-0.05498846,-0.007913361,-0.1167655,0.001184642,-0.07380173
2024_08_04_22_13_34_070,0.4,0.0,652,643,5.281608,-20.00672,0.7614296,0.02503371,0.04922679,0.01638643,0.76,-0.07636394,-0.06842247,-0.03790889,-0.2890229,-1.683522,4.640553
2024_08_04_22_13_34_108,0.4,0.0,720,716,5.310469,-20.00553,0.7599398,0.02341291,0.04781934,0.01469,0.75,-0.03131666,-0.04082603,-0.04613246,-0.3210902,-0.08263997,-0.03667735
2024_08_04_22_13_34_148,0.4,0.0,790,792,5.340308,-20.00448,0.758428,0.02229811,0.04600828,0.01271606,0.74,-0.02063907,-0.05123367,-0.0506915,-0.3458261,-0.03855489,-0.04514865
2024_08_04_22_13_34_187,0.4,0.0,858,867,5.368998,-20.00361,0.7570224,0.02182993,0.0443779,0.01093601,0.73,-0.003470415,-0.03761379,-0.04083683,0.06461143,-0.0228798,0.01810864
2024_08_04_22_13_34_225,0.4,0.0,924,939,5.396924,-20.00283,0.7557539,0.02194871,0.04262867,0.009245963,0.74,0.0659786,-0.1157903,-0.05708727,1.031399,-1.241456,1.21025
2024_08_04_22_13_34_263,0.4,0.0,995,1011,5.426221,-20.00234,0.754334,0.02583959,0.03707895,0.006534865,0.78,0.1429453,-0.1117088,-0.06280769,1.984715,-1.132097,-2.645159
2024_08_04_22_13_34_301,0.4,0.0,1066,1082,5.45612,-20.00228,0.7527455,0.03012834,0.03483661,0.003941478,0.82,0.1096707,-0.05045905,-0.06867619,0.9999871,0.1028068,-0.2541058
2024_08_04_22_13_34_342,0.4,0.0,1151,1166,5.491637,-20.00216,0.7507929,0.03447941,0.03304323,0.0009203884,0.86,0.1036574,-0.04083191,-0.07220626,0.7153749,0.03163889,-0.1033116
