2024_08_04_20_53_43_017,0,0,0,0,5.010096,-20.01945,0.7755902,0.07676828,0.05181178,0.0273709,0,-3.19064E-05,0.0002620968,0.001445193,0.005536974,-0.01299084,0.03841746,,,
2024_08_04_20_53_43_055,0,0,0,0,5.010114,-20.01946,0.7755893,0.07676721,0.0518157,0.02742843,0,-0.0003050243,0.000104857,0.001437625,-0.02083465,0.01900137,0.1256149,,,
2024_08_04_20_53_43_091,0,0,0,0,5.01013,-20.01948,0.7755882,0.07676508,0.05181912,0.02747743,0,-5.212253E-05,0.0002631228,0.001435581,0.003830006,-0.002908346,-0.06058386,,,
2024_08_04_20_53_43_124,0,0,0,0,5.010146,-20.01949,0.7755872,0.07676349,0.05182235,0.02752643,0,-0.0001308057,0.0001895391,0.001424233,-0.005828507,0.007904833,0.003354982,,,
2024_08_04_20_53_43_163,0,0,0,0,5.010164,-20.0195,0.7755862,0.07676189,0.05182581,0.02758289,0,-0.0002024572,4.052024E-05,0.001440888,-0.01632847,-0.0004197354,0.01525188,,,
2024_08_04_20_53_43_197,0,0,0,0,5.01018,-20.01951,0.7755851,0.07676082,0.05182878,0.02763189,0,-1.129445E-05,0.0002617993,0.00143595,-0.0002694433,-0.009259034,-0.03123393,,,
2024_08_04_20_53_43_239,0,0,0,0,5.010199,-20.01952,0.7755838,0.07675869,0.05183189,0.02768995,0,-0.000154157,0.0002393287,0.001427959,0.01331852,-0.0130047,-0.04198699,,,
2024_08_04_20_53_43_277,0.05957565,0,0,1,5.01082,-20.01972,0.775527,0.07687534,0.05165264,0.02801965,0.03,0.005421781,-0.004083896,0.005803876,1.388393,-0.03794907,-0.01931982,,,
2024_08_04_20_53_43_312,0.1110591,0,3,7,5.01278,-20.01988,0.7754614,0.07706389,0.05161314,0.02823963,0.08,0.004970184,0.00253733,0.004167103,1.169324,0.0005816109,-0.07849722,,,
2024_08_04_20_53_43_346,0.1623734,0,12,16,5.016699,-20.01998,0.7753905,0.07722901,0.05189961,0.02838983,0.15,0.003604198,0.01402453,-0.001729412,3.070876,-0.003757886,-0.0393968,,,
2024_08_04_20_53_43_380,0.2144216,0,27,32,5.023289,-20.01999,0.7753202,0.07732861,0.0526921,0.02840474,0.23,0.001810923,0.03047855,-0.00421191,2.444804,-0.01192046,-0.01971889,,,
2024_08_04_20_53_43_416,0.2682218,0,50,56,5.033224,-20.01989,0.7752531,0.077335,0.05413918,0.02822152,0.33,-0.001152382,0.0495806,-0.01195357,2.667576,0.0006277114,0.05076173,,,
2024_08_04_20_53_43_451,0.3197939,0,79,86,5.045799,-20.01967,0.7752004,0.07722475,0.05618292,0.02783962,0.42,-0.00399426,0.06838429,-0.01972003,2.905965,-0.0253329,-0.08970871,,,
2024_08_04_20_53_43_484,0.3705404,0,117,123,5.061706,-20.01926,0.7748125,0.07599756,0.05861551,0.02685691,0.53,-0.1064243,0.06785825,-0.0720849,3.410101,1.078346,-0.5034022,,,
2024_08_04_20_53_43_518,0.4207226,0,165,169,5.081378,-20.01791,0.7735954,0.07087843,0.06077235,0.0244867,0.64,-0.1770643,-0.0142428,-0.07671748,2.939641,0.1687482,0.4558526,,,
2024_08_04_20_53_43_553,0.4731875,0,224,228,5.105573,-20.01599,0.7721421,0.06422,0.06010342,0.02128984,0.75,-0.1953749,-0.02828664,-0.09834203,3.009975,0.1024008,-0.1316629,,,
2024_08_04_20_53_43_587,0.5,0,289,291,5.131827,-20.01403,0.7705719,0.05713066,0.05934865,0.01776754,0.84,-0.2206939,-0.02806649,-0.1107806,2.638161,0.2012066,-0.05200877,,,
2024_08_04_20_53_43_623,0.5,0,369,369,5.164586,-20.01176,0.7686723,0.0485686,0.05840793,0.01400024,0.9,-0.1615483,-0.09168769,0.01625886,0.2297759,-1.500886,1.610542,,,
2024_08_04_20_53_43_661,0.5,0,454,450,5.198256,-20.01076,0.7668143,0.04268621,0.05486292,0.01456802,0.9,-0.1957424,-0.0546652,-0.001224575,0.1077056,0.6896741,-0.3076755,,,
2024_08_04_20_53_43_697,0.5,0,535,529,5.231094,-20.0095,0.7648081,0.03563789,0.05265629,0.01442954,0.91,-0.1946443,-0.06667908,-0.002421819,0.1952052,0.04158169,0.01314655,,,
2024_08_04_20_53_43_736,0.5,0,626,617,5.267892,-20.00799,0.7624263,0.02776132,0.04999888,0.01433633,0.92,-0.1987479,-0.06651572,0.001716846,0.2049208,0.01997128,-0.01433864,,,
2024_08_04_20_53_43_773,0.5,0,708,704,5.301991,-20.00644,0.7602933,0.02415381,0.04771541,0.01266599,0.91,-0.0411684,-0.04457135,-0.06197402,-0.3667473,-0.2739969,-0.09693577,,,
2024_08_04_20_53_43_807,0.5,0,783,789,5.333934,-20.00531,0.7586963,0.02283501,0.04597899,0.01037195,0.9,-0.02906661,-0.05627983,-0.06865595,-0.3269911,-0.05845073,-0.006284564,,,
2024_08_04_20_53_43_850,0.5,0,871,891,5.370978,-20.00416,0.7568609,0.02202434,0.04388935,0.00768322,0.9,-0.005114226,-0.04413656,-0.05757178,0.2045035,-0.0644112,0.1981333,,,
2024_08_04_20_53_43_887,0.5,0,952,980,5.404777,-20.00329,0.7552552,0.02345286,0.04041513,0.005061604,0.93,0.1159609,-0.1740309,-0.08881991,1.4624,-0.8841827,-0.04874915,,,
2024_08_04_20_53_43_923,0.5,0,1039,1067,5.44049,-20.00299,0.7534219,0.02832006,0.03519937,0.001495631,0.98,0.1371493,-0.06757318,-0.09581648,1.491427,0.132259,-0.307899,,,
2024_08_04_20_53_43_958,0.5,0,1124,1152,5.475849,-20.00298,0.7515128,0.03274783,0.03328734,6.281306,1.03,0.1254764,-0.05147544,-0.09576334,1.18649,0.06425753,-0.1733377,,,
2024_08_04_20_53_44_005,0.5,0.02002424,1238,1263,5.523258,-20.0031,0.7485846,0.03732207,0.03269513,6.276991,1.08,-0.004036437,0.009982632,-0.09624117,1.213074,1.448227,-0.8367374,,,
2024_08_04_20_53_44_044,0.5,0.04505469,1341,1366,5.56715,-20.00279,0.7445027,0.03622805,0.03394327,6.274284,1.12,-0.003399009,0.006246851,-0.04437569,0.8749961,-0.05887355,-0.03655255,,,
2024_08_04_20_53_44_080,0.5,0.05756982,1437,1464,5.607891,-20.00238,0.740343,0.03625574,0.03410261,6.273252,1.15,0.002259534,0.004502697,-0.02249198,0.5714893,0.07588323,-0.1143292,,,
2024_08_04_20_53_44_117,0.5,0.08260027,1536,1566,5.651266,-20.00233,0.7387075,0.03663125,0.03916255,6.27358,1.16,-0.03800215,0.2608452,0.01923987,0.2435446,0.9583476,0.21106,,,
2024_08_04_20_53_44_158,0.5,0.09511539,1632,1668,5.69461,-20.00201,0.7393128,0.03481178,0.04930395,6.275548,1.17,-0.05750172,0.2726841,0.05109518,0.2019405,0.1708269,0.3177337,,,
2024_08_04_20_53_44_197,0.5,0.09511539,1736,1777,5.740514,-20.00221,0.7399409,0.03448953,0.05848423,6.2819,1.11,-0.04846162,0.1702399,0.1905142,-1.233935,0.8668713,-1.686897,,,
2024_08_04_20_53_44_234,0.5,0.1051276,1830,1870,5.780078,-20.00235,0.7394051,0.03265195,0.06414524,0.005891445,1.05,-0.06905048,0.1595615,0.1967432,-1.194358,0.2501905,0.1974106,,,
2024_08_04_20_53_44_272,0.5,0.1301579,1925,1969,5.819974,-20.00171,0.7389256,0.02746411,0.06288165,0.01416109,0.99,-0.1470229,-0.03782752,0.2278291,-1.157761,0.1327842,-0.01974031,,,
2024_08_04_20_53_44_310,0.5,0.137667,2007,2054,5.854325,-20.00076,0.7384822,0.02300119,0.06118955,0.02248294,0.96,-0.1378503,-0.04624211,0.2399329,-0.8310079,-0.06891787,-0.01513213,,,
2024_08_04_20_53_44_345,0.5,0.137667,2095,2145,5.890519,-19.99945,0.7380027,0.01848766,0.05912217,0.03158562,0.94,-0.1292608,-0.05210274,0.240845,-0.6741285,-0.07215142,-0.162337,,,
2024_08_04_20_53_44_381,0.5,0.137667,2177,2229,5.924143,-19.99797,0.737214,0.01507509,0.05639889,0.04006779,0.92,-0.09892141,-0.08015727,0.2355988,-0.1106858,-0.07046014,-0.1784079,,,
